Code,Name,SymbolRu,SymbolEn,AlphaRu,AlphaEn,GroupId
558,Тысяча птицемест,10³ птицемест,NULL,ТЫС ПТИЦЕМЕСТ,NULL,14
559,Тысяча кур-несушек,10³ кур. несуш,NULL,ТЫС КУР. НЕСУШ,NULL,14
561,Тысяча тонн пара в час,10³ т пар/ч,NULL,ТЫС Т ПАР/Ч,NULL,14
562,Тысяча прядильных веретен,10³ пряд. верет,NULL,ТЫС ПРЯД ВЕРЕТ,NULL,14
563,Тысяча прядильных мест,10³ пряд. мест,NULL,ТЫС ПРЯД МЕСТ,NULL,14
596,Кубический метр в секунду,м³/с,m³/s,М3/С,MQS,7
598,Кубический метр в час,м³/ч,m³/h,М3/Ч,MQH,7
599,Тысяча кубических метров в сутки,10³ м³/сут,—,ТЫС М3/СУТ,TQD,7
616,Бобина,боб,—,БОБ,NBB,7
625,Лист,л.,—,ЛИСТ,LEF,7
626,Сто листов,100 л.,—,100 ЛИСТ,CLF,7
630,Тысяча стандартных условных кирпичей,тыс. станд. усл. кирп,—,ТЫС СТАНД УСЛ КИРП,MBE,7
639,Доза,доз,NULL,ДОЗ,NULL,14
640,Тысяча доз,10³ доз,NULL,ТЫС ДОЗ,NULL,14
641,Дюжина (12 шт.),дюжина,Doz; 12,ДЮЖИНА,DZN,7
642,Единица,ед,NULL,ЕД,NULL,14
6421,Единиц в год,ед/год,NULL,ЕД/ГОД,NULL,16
6422,Вызов,вызов,NULL,ВЫЗОВ,NULL,16
6423,Посевная единица,пос. ед,NULL,ПОС ЕД,NULL,16
6424,Штамм,штамм,NULL,ШТАММ,NULL,16
643,Тысяча единиц,10³ ед,NULL,ТЫС ЕД,NULL,14
644,Миллион единиц,10⁶ ед,NULL,МЛН ЕД,NULL,14
657,Изделие,изд,—,ИЗД,NAR,7
661,Канал,канал,NULL,КАНАЛ,NULL,14
673,Тысяча комплектов,10³ компл,NULL,ТЫС КОМПЛ,NULL,14
683,Сто ящиков,100 ящ,Hbx,100 ЯЩ,HBX,7
698,Место,мест,NULL,МЕСТ,NULL,14
699,Тысяча мест,10³ мест,NULL,ТЫС МЕСТ,NULL,14
704,Набор,набор,—,НАБОР,SET,7
709,Тысяча номеров,10³ ном,NULL,ТЫС НОМ,NULL,14
715,Пара (2 шт.),пар,pr; 2,ПАР,NPR,7
724,Тысяча гектаров порций,10³ га порц,NULL,ТЫС ГА ПОРЦ,NULL,14
728,Пачка,пач,NULL,ПАЧ,NULL,14
729,Тысяча пачек,10³ пач,NULL,ТЫС ПАЧ,NULL,14
730,Два десятка,20,20,2 ДЕС,SCO,7
732,Десять пар,10 пар,—,ДЕС ПАР,TPR,7
733,Дюжина пар,дюжина пар,—,ДЮЖИНА ПАР,DPR,7
734,Посылка,посыл,—,ПОСЫЛ,NPL,7
735,Часть,часть,—,ЧАСТЬ,NPT,7
736,Рулон,рул,—,РУЛ,NRL,7
737,Дюжина рулонов,дюжина рул,—,ДЮЖИНА РУЛ,DRL,7
740,Дюжина штук,дюжина шт,—,ДЮЖИНА ШТ,DPC,7
744,Процент,%,NULL,ПРОЦ,NULL,14
745,Элемент,элем,CI,ЭЛЕМ,NCL,7
746,"Промилле (0,1 процента)",‰,NULL,ПРОМИЛЛЕ,NULL,14
751,Тысяча рулонов,10³ рул,NULL,ТЫС РУЛ,NULL,14
761,Тысяча станов,10³ стан,NULL,ТЫС СТАН,NULL,14
762,Станция,станц,NULL,СТАНЦ,NULL,14
775,Тысяча тюбиков,10³ тюбик,NULL,ТЫС ТЮБИК,NULL,14
776,Тысяча условных тубов,10³ усл. туб,NULL,ТЫС УСЛ ТУБ,NULL,14
778,Упаковка,упак,—,УПАК,NMP,7
779,Миллион упаковок,10⁶ упак,NULL,МЛН УПАК,NULL,14
780,Дюжина упаковок,дюжина упак,—,ДЮЖИНА УПАК,DZP,7
781,Сто упаковок,100 упак,—,100 УПАК,CNP,7
782,Тысяча упаковок,10³ упак,NULL,ТЫС УПАК,NULL,14
792,Человек,чел,NULL,ЧЕЛ,NULL,14
7923,Абонент,Абонент,NULL,АБОНЕНТ,NULL,16
793,Тысяча человек,10³ чел,NULL,ТЫС ЧЕЛ,NULL,14
794,Миллион человек,10⁶ чел,NULL,МЛН ЧЕЛ,NULL,14
796,Штука,шт,pc; 1,ШТ,PCE; NMB,7
797,Сто штук,100 шт,100,100 ШТ,CEN,7
798,Тысяча штук,тыс. шт; 1000 шт,1000,ТЫС ШТ,MIL,7
799,Миллион штук,10⁶ шт,10⁶,МЛН ШТ,MIO,7
800,Миллиард штук,10⁹ шт,10⁹,МЛРД ШТ,MLD,7
801,Биллион штук (Европа); триллион штук,10¹² шт,10¹²,БИЛЛ ШТ (ЕВР); ТРИЛЛ ШТ,BIL,7
802,Квинтильон штук (Европа),10¹⁸ шт,10¹⁸,КВИНТ ШТ,TRL,7
808,Миллион экземпляров,10⁶ экз,NULL,МЛН ЭКЗ,NULL,14
810,Ячейка,яч,NULL,ЯЧ,NULL,14
812,Ящик,ящ,NULL,ЯЩ,NULL,14
820,Крепость спирта по массе,креп. спирта по массе,% mds,КРЕП СПИРТ ПО МАСС,ASM,7
821,Крепость спирта по объему,креп. спирта по объему,% vol,КРЕП СПИРТ ПО ОБЪЕМ,ASV,7
831,Литр чистого (100%) спирта,л 100% спирта,—,Л ЧИСТ СПИРТ,LPA,7
833,Гектолитр чистого (100%) спирта,Гл 100% спирта,—,ГЛ ЧИСТ СПИРТ,HPA,7
836,Голова,гол,NULL,ГОЛ,NULL,14
8361,Особь,ос,NULL,ОСОБЬ,NULL,16
837,Тысяча пар,10³ пар,NULL,ТЫС ПАР,NULL,14
838,Миллион пар,10⁶ пар,NULL,МЛН ПАР,NULL,14
839,Комплект,компл,NULL,КОМПЛ,NULL,14
840,Секция,секц,NULL,СЕКЦ,NULL,14
841,Килограмм пероксида водорода,кг H₂О₂,—,КГ ПЕРОКСИД ВОДОРОДА,—,7
845,Килограмм 90%-го сухого вещества,кг 90% с/в,—,КГ 90 ПРОЦ СУХ ВЕЩ,KSD,7
847,Тонна 90%-го сухого вещества,т 90% с/в,—,Т 90 ПРОЦ СУХ ВЕЩ,TSD,7
852,Килограмм оксида калия,кг К₂О,—,КГ ОКСИД КАЛИЯ,KPO,7
859,Килограмм гидроксида калия,кг КОН,—,КГ ГИДРОКСИД КАЛИЯ,KPH,7
861,Килограмм азота,кг N,—,КГ АЗОТ,KNI,7
863,Килограмм гидроксида натрия,кг NaOH,—,КГ ГИДРОКСИД НАТРИЯ,KSH,7
865,Килограмм пятиокиси фосфора,кг Р₂О₅,—,КГ ПЯТИОКИСЬ ФОСФОРА,KPP,7
867,Килограмм урана,кг U,—,КГ УРАН,KUR,7
868,Бутылка,бут,NULL,БУТ,NULL,14
869,Тысяча бутылок,10³ бут,NULL,ТЫС БУТ,NULL,14
870,Ампула,ампул,NULL,АМПУЛ,NULL,14
871,Тысяча ампул,10³ ампул,NULL,ТЫС АМПУЛ,NULL,14
872,Флакон,флак,NULL,ФЛАК,NULL,14
873,Тысяча флаконов,10³ флак,NULL,ТЫС ФЛАК,NULL,14
874,Тысяча тубов,10³ туб,NULL,ТЫС ТУБ,NULL,14
875,Тысяча коробок,10³ кор,NULL,ТЫС КОР,NULL,14
8751,Коробка,кор,NULL,КОР,NULL,16
876,Условная единица,усл. ед,NULL,УСЛ ЕД,NULL,14
877,Тысяча условных единиц,10³ усл. ед,NULL,ТЫС УСЛ ЕД,NULL,14
878,Миллион условных единиц,10⁶ усл. ед,NULL,МЛН УСЛ ЕД,NULL,14
879,Условная штука,усл. шт,NULL,УСЛ ШТ,NULL,14
880,Тысяча условных штук,10³ усл. шт,NULL,ТЫС УСЛ ШТ,NULL,14
881,Условная банка,усл. банк,NULL,УСЛ БАНК,NULL,14
882,Тысяча условных банок,10³ усл. банк,NULL,ТЫС УСЛ БАНК,NULL,14
883,Миллион условных банок,10⁶ усл. банк,NULL,МЛН УСЛ БАНК,NULL,14
884,Условный кусок,усл. кус,NULL,УСЛ КУС,NULL,14
885,Тысяча условных кусков,10³ усл. кус,NULL,ТЫС УСЛ КУС,NULL,14
886,Миллион условных кусков,10⁶ усл. кус,NULL,МЛН УСЛ КУС,NULL,14
887,Условный ящик,усл. ящ,NULL,УСЛ ЯЩ,NULL,14
888,Тысяча условных ящиков,10³ усл. ящ,NULL,ТЫС УСЛ ЯЩ,NULL,14
889,Условная катушка,усл. кат,NULL,УСЛ КАТ,NULL,14
890,Тысяча условных катушек,10³ усл. кат,NULL,ТЫС УСЛ КАТ,NULL,14
891,Условная плитка,усл. плит,NULL,УСЛ ПЛИТ,NULL,14
892,Тысяча условных плиток,10³ усл. плит,NULL,ТЫС УСЛ ПЛИТ,NULL,14
893,Условный кирпич,усл. кирп,NULL,УСЛ КИРП,NULL,14
894,Тысяча условных кирпичей,10³ усл. кирп,NULL,ТЫС УСЛ КИРП,NULL,14
895,Миллион условных кирпичей,10⁶ усл. кирп,NULL,МЛН УСЛ КИРП,NULL,14
896,Семья,семей,NULL,СЕМЕЙ,NULL,14
897,Тысяча семей,10³ семей,NULL,ТЫС СЕМЕЙ,NULL,14
898,Миллион семей,10⁶ семей,NULL,МЛН СЕМЕЙ,NULL,14
899,Домохозяйство,домхоз,NULL,ДОМХОЗ,NULL,14
900,Тысяча домохозяйств,10³ домхоз,NULL,ТЫС ДОМХОЗ,NULL,14
901,Миллион домохозяйств,10⁶ домхоз,NULL,МЛН ДОМХОЗ,NULL,14
902,Ученическое место,учен. мест,NULL,УЧЕН МЕСТ,NULL,14
903,Тысяча ученических мест,10³ учен. мест,NULL,ТЫС УЧЕН МЕСТ,NULL,14
904,Рабочее место,раб. мест,NULL,РАБ МЕСТ,NULL,14
905,Тысяча рабочих мест,10³ раб. мест,NULL,ТЫС РАБ МЕСТ,NULL,14
906,Посадочное место,посад. мест,NULL,ПОСАД МЕСТ,NULL,14
9061,Миллион гектаров,10⁶ га,NULL,МЛН ГА,NULL,16
9062,Миллиард гектаров,10⁹ га,NULL,МЛРД ГА,NULL,16
907,Тысяча посадочных мест,10³ посад. мест,NULL,ТЫС ПОСАД МЕСТ,NULL,14
908,Номер,ном,NULL,НОМ,NULL,14
909,Квартира,кварт,NULL,КВАРТ,NULL,14
910,Тысяча квартир,10³ кварт,NULL,ТЫС КВАРТ,NULL,14
911,Койка,коек,NULL,КОЕК,NULL,14
9111,Койко-день,койк·дн,NULL,КОЙК ДН,NULL,16
9113,Пациенто-день,пациент·дн,NULL,ПАЦИЕНТ ДН,NULL,16
912,Тысяча коек,10³ коек,NULL,ТЫС КОЕК,NULL,14
913,Том книжного фонда,том книжн. фонд,NULL,ТОМ КНИЖН ФОНД,NULL,14
914,Тысяча томов книжного фонда,10³ том книжн. фонд,NULL,ТЫС ТОМ КНИЖН ФОНД,NULL,14
915,Условный ремонт,усл. рем,NULL,УСЛ РЕМ,NULL,14
916,Условный ремонт в год,усл. рем/год,NULL,УСЛ РЕМ/ГОД,NULL,14
917,Смена,смен,NULL,СМЕН,NULL,14
918,Лист авторский,л. авт,NULL,ЛИСТ АВТ,NULL,14
920,Лист печатный,л. печ,NULL,ЛИСТ ПЕЧ,NULL,14
921,Лист учетно-издательский,л. уч.-изд,NULL,ЛИСТ УЧ.ИЗД,NULL,14
922,Знак,знак,NULL,ЗНАК,NULL,14
923,Слово,слово,NULL,СЛОВО,NULL,14
924,Символ,символ,NULL,СИМВОЛ,NULL,14
9245,Запись,запись,NULL,ЗАПИСЬ,NULL,16
9246,Документ,докум,NULL,ДОКУМ,NULL,16
925,Условная труба,усл. труб,NULL,УСЛ ТРУБ,NULL,14
930,Тысяча пластин,10³ пласт,NULL,ТЫС ПЛАСТ,NULL,14
937,Миллион доз,10⁶ доз,NULL,МЛН ДОЗ,NULL,14
949,Миллион листов-оттисков,10⁶ лист·оттиск,NULL,МЛН ЛИСТ ОТТИСК,NULL,14
9491,Лист-оттиск,лист·оттиск,NULL,ЛИСТ ОТТИСК,NULL,16
950,Вагоно (машино)-день,ваг (маш)·дн,NULL,ВАГ (МАШ)·ДН,NULL,14
9501,Вагоно (машино)-час,ваг (маш)·ч,NULL,ВАГ (МАШ)·Ч,NULL,16
951,Тысяча вагоно (машино)-часов,10³ ваг (маш)·ч,NULL,ТЫС ВАГ (МАШ)·Ч,NULL,14
952,Тысяча вагоно (машино)-километров,10³ ваг (маш)·км,NULL,ТЫС ВАГ (МАШ)·КМ,NULL,14
953,Тысяча место-километров,10³ мест·км,NULL,ТЫС МЕСТ·КМ,NULL,14
954,Вагоно-сутки,ваг·сут,NULL,ВАГ·СУТ,NULL,14
955,Тысяча поездо-часов,10³ поезд·ч,NULL,ТЫС ПОЕЗД·Ч,NULL,14
9557,Миллион голов,10⁶ гол,NULL,МЛН ГОЛ,NULL,16
956,Тысяча поездо-километров,10³ поезд·км,NULL,ТЫС ПОЕЗД·КМ,NULL,14
957,Тысяча тонно-миль,10³ т·миль,NULL,ТЫС Т·МИЛЬ,NULL,14
958,Тысяча пассажиро-миль,10³ пасс·миль,NULL,ТЫС ПАСС·МИЛЬ,NULL,14
959,Автомобиле-день,автомоб·дн,NULL,АВТОМОБ·ДН,NULL,14
960,Тысяча автомобиле-тонно-дней,10³ автомоб·т·дн,NULL,ТЫС АВТОМОБ·Т·ДН,NULL,14
961,Тысяча автомобиле-часов,10³ автомоб·ч,NULL,ТЫС АВТОМОБ·Ч,NULL,14
962,Тысяча автомобиле-место-дней,10³ автомоб·мест·дн,NULL,ТЫС АВТОМОБ·МЕСТ·ДН,NULL,14
963,Приведенный час,привед. ч,NULL,ПРИВЕД. Ч,NULL,14
964,Самолето-километр,самолет·км,NULL,САМОЛЕТ·КМ,NULL,14
9641,Летный час,летн. ч,NULL,ЛЕТН Ч,NULL,16
9642,Балл,балл,NULL,БАЛЛ,NULL,16
965,Тысяча километров,10³ км,NULL,ТЫС КМ,NULL,14
966,Тысяча тоннаже-рейсов,10³ тоннаж·рейс,NULL,ТЫС ТОННАЖ·РЕЙС,NULL,14
967,Миллион тонно-миль,10⁶ т·миль,NULL,МЛН Т·МИЛЬ,NULL,14
968,Миллион пассажиро-миль,10⁶ пасс·миль,NULL,МЛН ПАСС·МИЛЬ,NULL,14
969,Миллион тоннаже-миль,10⁶ тоннаж·миль,NULL,МЛН ТОННАЖ·МИЛЬ,NULL,14
970,Миллион пассажиро-место-миль,10⁶ пасс·мест·миль,NULL,МЛН ПАСС·МЕСТ·МИЛЬ,NULL,14
971,Кормо-день,корм·дн,NULL,КОРМ·ДН,NULL,14
972,Центнер кормовых единиц,ц корм ед,NULL,Ц КОРМ ЕД,NULL,14
973,Тысяча автомобиле-километров,10³ автомоб·км,NULL,ТЫС АВТОМОБ·КМ,NULL,14
974,Тысяча тоннаже-суток,10³ тоннаж·сут,NULL,ТЫС ТОННАЖ·СУТ,NULL,14
975,Суго-сутки,суго·сут,NULL,СУГО·СУТ,NULL,14
976,Штука в 20-футовом эквиваленте (ДФЭ),штук в 20-футовом эквиваленте,NULL,ШТ В 20 ФУТ ЭКВИВ,NULL,14
977,Канало-километр,канал·км,NULL,КАНАЛ·КМ,NULL,14
978,Канало-концы,канал·конц,NULL,КАНАЛ·КОНЦ,NULL,14
979,Тысяча экземпляров,10³ экз,NULL,ТЫС ЭКЗ,NULL,14
980,Тысяча долларов,10³ доллар,NULL,ТЫС ДОЛЛАР,NULL,14
9802,Миллион долларов,10⁶ доллар,NULL,МЛН ДОЛЛАР,NULL,16
9803,Миллиард долларов,10⁹ доллар,NULL,МЛРД ДОЛЛАР,NULL,16
9805,Доллар за тонну,доллар за тонну,NULL,ДОЛЛАР ЗА ТОННУ,NULL,16
981,Тысяча тонн кормовых единиц,10³ корм ед,NULL,ТЫС Т КОРМ ЕД,NULL,14
982,Миллион тонн кормовых единиц,10⁶ корм ед,NULL,МЛН Т КОРМ ЕД,NULL,14
983,Судо-сутки,суд·сут,NULL,СУД·СУТ,NULL,14
984,Центнеров с гектара,ц/га,NULL,Ц/ГА,NULL,14
985,Тысяча голов,10³ гол,NULL,ТЫС ГОЛ,NULL,14
986,Тысяча краско-оттисков,10³ краск·оттиск,NULL,ТЫС КРАСК ОТТИСК,NULL,14
987,Миллион краско-оттисков,10⁶ краск·оттиск,NULL,МЛН КРАСК ОТТИСК,NULL,14
988,Миллион условных плиток,10⁶ усл. плит,NULL,МЛН УСЛ ПЛИТ,NULL,14
989,Человек в час,чел/ч,NULL,ЧЕЛ/Ч,NULL,14
990,Пассажиров в час,пасс/ч,NULL,ПАСС/Ч,NULL,14
991,Пассажиро-миля,пасс·миля,NULL,ПАСС МИЛЯ,NULL,14
9910,Международная единица биологической активности,МЕ,NULL,МЕ,NULL,17
9911,Тысяча международных единиц биологической активности,тыс. МЕ,NULL,ТЫС. МЕ,NULL,17
9912,Миллион международных единиц биологической активности,млн. МЕ,NULL,МЛН. МЕ,NULL,17
9913,Международная единица биологической активности на грамм,МЕ/г,NULL,МЕ/Г,NULL,17
9914,Тысяча международных единиц биологической активности на грамм,тыс. МЕ/г,NULL,ТЫС. МЕ/Г,NULL,17
9915,Миллион международных единиц биологической активности на грамм,млн. МЕ/г,NULL,МЛН. МЕ/Г,NULL,17
9916,Международная единица биологической активности на миллилитр,МЕ/мл,NULL,МЕ/МЛ,NULL,17
9917,Тысяча международных единиц биологической активности на миллилитр,тыс. МЕ/мл,NULL,ТЫС. МЕ/МЛ,NULL,17
9918,Миллион международных единиц биологической активности на миллилитр,млн. МЕ/мл,NULL,МЛН. МЕ/МЛ,NULL,17
9920,Единица действия биологической активности,ЕД,NULL,ЕД,NULL,17
9921,Единица действия биологической активности на грамм,ЕД/г,NULL,ЕД/Г,NULL,17
9922,Тысяча единиц действия биологической активности на грамм,тыс. ЕД/г,NULL,ТЫС. ЕД/Г,NULL,17
9923,Единица действия биологической активности на микролитр,ЕД/мкл,NULL,ЕД/МКЛ,NULL,17
9924,Единица действия биологической активности на миллилитр,ЕД/мл,NULL,ЕД/МЛ,NULL,17
9925,Тысяча единиц действия биологической активности на миллилитр,тыс. ЕД/мл,NULL,ТЫС. ЕД/МЛ,NULL,17
9926,Миллион единиц действия биологической активности на миллилитр,млн. ЕД/мл,NULL,МЛН. ЕД/МЛ,NULL,17
9927,Единица действия биологической активности в сутки,ЕД/сут,NULL,ЕД/СУТ,NULL,17
9930,Антитоксическая единица,АЕ,NULL,АЕ,NULL,17
9931,Тысяча антитоксических единиц,тыс. АЕ,NULL,ТЫС. АЕ,NULL,17
9940,Антитрипсиновая единица,АТрЕ,NULL,АТРЕ,NULL,17
9941,Тысяча антитрипсиновых единиц,тыс. АТрЕ,NULL,ТЫС. АТРЕ,NULL,17
9950,Индекс Реактивности,ИР,NULL,ИР,NULL,17
9951,Индекс Реактивности на миллилитр,ИР/мл,NULL,ИР/МЛ,NULL,17
9960,Килобеккерель на миллилитр,кБк/мл,NULL,КИЛОБК/МЛ,NULL,17
9961,Мегабеккерель на миллилитр,МБк/мл,NULL,МЕГАБК/МЛ,NULL,17
9962,Мегабеккерель на метр квадратный,МБк/м²,NULL,МЕГАБК/М2,NULL,17
9970,Калликреиновая ингибирующая единица на миллилитр,КИЕ/мл,NULL,КИЕ/МЛ,NULL,17
9971,Тысяча калликреиновых ингибирующих единиц на миллилитр,тыс. КИЕ/мл,NULL,ТЫС. КИЕ/МЛ,NULL,17
9980,Миллион колониеобразуюших единиц,млн. КОЕ,NULL,МЛН. КОЕ,NULL,17
9981,Миллион колониеобразующих единиц на пакет,млн. КОЕ/пакет,NULL,МЛН. КОЕ/ПАКЕТ,NULL,17
9982,Миллиард колониеобразующих единиц,млрд. КОЕ,NULL,МЛРД. КОЕ,NULL,17
9983,Протеолитическая единица,ПЕ,NULL,ПЕ,NULL,17
9985,Микрограмм на миллилитр,Мкг/мл,NULL,МКГ/МЛ,NULL,17
9986,Микрограмм в сутки,Мкг/сут,NULL,МКГ/СУТ,NULL,17
9987,Микрограмм в час,Мкг/ч,NULL,МКГ/Ч,NULL,17
9988,Микрограмм на дозу,Мкг/доза,NULL,МКГ/ДОЗА,NULL,17
9990,Миллимоль на миллилитр,ммоль/мл,NULL,ММОЛЬ/МЛ,NULL,17
9991,Миллимоль на литр,ммоль/л,NULL,ММОЛЬ/Л,NULL,17
